[1741496, 71524, -1016949, 1743005, 226066, 1741623, 2498546, -1017961]
[1290504, 1112404, 89849, 1291642, 1589029, 1290679, 3868175, 89971]
[1338799, 1924168, 874253, 1339949, 2409643, 1338947, 4673668, 875123]
[1780536, 988101, -136391, 1782036, 1157369, 1780655, 3404873, -136583]
[1804596, 34569, -1071957, 1806142, 150541, 1804711, 2399804, -1073033]
[1353631, 835918, -187345, 1354831, 1277524, 1353800, 3534265, -187509]
[1270854, 1862146, 867769, 1271974, 2439460, 1271027, 4687543, 868640]
[1709736, 1134753, 98444, 1711183, 1447178, 1709865, 3677174, 98493]
[1859043, -37770, -1045583, 1860636, 168311, 1859149, 2399121, -1046633]
[1438078, 464879, -435610, 1439346, 989273, 1438251, 3232536, -435993]
[1237467, 1659466, 793906, 1238571, 2386617, 1237662, 4623665, 794725]
[1643080, 1236632, 313256, 1644471, 1716276, 1643208, 3935538, 313526]
[1894813, -13954, -951719, 1896429, 271006, 1894916, 2485913, -952674]
[1526281, 187757, -677561, 1527634, 718342, 1526439, 2942276, -678194]
[1218566, 1466524, 637836, 1219655, 2249694, 1218745, 4470911, 638501]
[1556263, 1389697, 495312, 1557583, 1966120, 1556394, 4166374, 495750]
[1887253, 126116, -799043, 1888857, 455389, 1887366, 2648264, -799874]
[1603899, -9925, -872969, 1605303, 494645, 1604049, 2696330, -873829]
[1221069, 1255976, 429167, 1222146, 2037341, 1221258, 4240164, 429611]
[1455894, 1555166, 645956, 1457139, 2168795, 1456055, 4358173, 646564]
[1846136, 352360, -600277, 1847693, 684536, 1846242, 2866945, -600934]
[1677711, -141888, -1035573, 1679161, 289635, 1677839, 2483712, -1036614]
[1244616, 1005139, 168918, 1245733, 1746028, 1244798, 3948093, 169109]
[1362529, 1629846, 744566, 1363735, 2312506, 1362713, 4500503, 745296]
[1794261, 569930, -376884, 1795795, 950561, 1794386, 3126777, -377320]
[1747678, -225516, -1140307, 1749180, 160496, 1747793, 2345036, -1141462]
[1296920, 761283, -117254, 1298084, 1436389, 1297088, 3630872, -117351]
[1287218, 1686399, 761169, 1288351, 2383268, 1287379, 4566829, 761909]
[1724921, 866263, -176761, 1726386, 1216261, 1725039, 3387351, -177008]
[1794548, -116947, -1206617, 1796101, 100743, 1794660, 2274811, -1207842]
[1351545, 626389, -432791, 1352758, 1116778, 1351719, 3296670, -433226]
[1217731, 1761485, 675197, 1218813, 2373688, 1217920, 4533773, 675855]
[1637075, 1176254, -11104, 1638465, 1497959, 1637216, 3633221, -11182]
[1819733, -3684, -1236012, 1821293, 138823, 1819851, 2270094, -1237271]
[1413599, 406601, -778566, 1414849, 802518, 1413753, 2948170, -779310]
[1162656, 1671052, 491474, 1163703, 2267519, 1162838, 4414517, 491974]
[1538843, 1401382, 126773, 1540166, 1749508, 1538986, 3878073, 126832]
[1808168, 132434, -1194116, 1809720, 254721, 1808276, 2373190, -1195346]
[1465378, 199641, -1066499, 1466666, 526727, 1465523, 2660814, -1067563]
[1137469, 1477076, 261964, 1138499, 2066449, 1137659, 4206389, 262239]
[1437858, 1532811, 246848, 1439091, 1939243, 1437991, 4070588, 247024]
[1775260, 273993, -1068024, 1776771, 409874, 1775345, 2539195, -1069141]
[1521834, -20380, -1307207, 1523183, 256970, 1521972, 2393924, -1308501]
[1122875, 1191867, -37064, 1123901, 1776878, 1123075, 3920416, -37074]
[1321599, 1596453, 312455, 1322754, 2084295, 1321769, 4214932, 312727]
[1710645, 435229, -919113, 1712119, 627443, 1710770, 2752918, -920082]
[1565638, -178943, -1504117, 1567021, 59824, 1565759, 2195191, -1505597]
[1125004, 901128, -358757, 1126034, 1453641, 1125179, 3592241, -359094]
[1205654, 1637144, 347758, 1206719, 2183458, 1205821, 4302897, 348068]
[1627072, 644063, -716418, 1628468, 904338, 1627179, 3001976, -717188]
[1609506, -262663, -1600393, 1610916, -22857, 1609632, 2079258, -1601960]
[1163174, 592263, -655591, 1164249, 1156763, 1163346, 3264029, -656219]
[1118020, 1601955, 340525, 1119023, 2241984, 1118193, 4335026, 340844]
[1547286, 850801, -496911, 1548629, 1193946, 1547431, 3272354, -497479]
[1645601, -246807, -1603987, 1647052, -28146, 1645721, 2055566, -1605597]
[1212333, 359989, -925264, 1213453, 858603, 1212508, 2957126, -926163]
[1049461, 1536714, 262328, 1050431, 2187588, 1049660, 4284561, 262581]
[1453427, 1055499, -295204, 1454696, 1439051, 1453579, 3522173, -295555]
[1659802, -156038, -1538178, 1661253, 27298, 1659914, 2116144, -1539739]
[1277741, 139112, -1178959, 1278912, 552141, 1277897, 2661370, -1180131]
[1009206, 1417073, 120336, 1010160, 2042159, 1009409, 4153019, 120463]
[1360169, 1279201, -108926, 1361376, 1665533, 1360314, 3761365, -109106]
[1652094, 23044, -1406957, 1653545, 168887, 1652197, 2263698, -1408399]
[1351014, -29169, -1396142, 1352244, 296833, 1351144, 2405811, -1397509]
[1007783, 1251854, -79155, 1008719, 1833856, 1007959, 3944806, -79206]
[1271575, 1447024, 59752, 1272694, 1879526, 1271732, 3977105, 59781]
[1633706, 230817, -1195718, 1635116, 403604, 1633808, 2497672, -1196951]
[1430148, -164106, -1530574, 1431436, 120019, 1430288, 2229119, -1532079]
[1029176, 1004779, -290520, 1030139, 1590262, 1029359, 3706582, -290785]
[1191705, 1522335, 193645, 1192767, 2043162, 1191866, 4146063, 193794]
[1607416, 452140, -939059, 1608816, 680006, 1607544, 2776144, -940058]
[1534268, -199775, -1586530, 1535634, 13464, 1534408, 2123399, -1588112]
[1098455, 837784, -500446, 1099475, 1322499, 1098643, 3446099, -500932]
[1124940, 1659885, 303131, 1125958, 2162213, 1125127, 4272803, 303396]
[1560842, 769598, -650100, 1562204, 984769, 1560976, 3083176, -650806]
[1631801, -178092, -1569189, 1633223, -22691, 1631916, 2088825, -1570761]
[1204594, 597874, -700574, 1205673, 1052801, 1204739, 3179752, -701252]
[1098896, 1653915, 368877, 1099871, 2219129, 1099058, 4341083, 369246]
[1530304, 1001096, -348514, 1531630, 1293191, 1530433, 3402424, -348920]
[1715995, -93117, -1449151, 1717502, 52666, 1716114, 2167670, -1450589]
[1326333, 414733, -865696, 1327538, 813449, 1326492, 2942999, -866535]
[1094253, 1615075, 366246, 1095267, 2195227, 1094437, 4325744, 366624]
[1475235, 1261776, -55507, 1476495, 1592301, 1475364, 3712363, -55622]
[1766138, 81105, -1263480, 1767647, 197916, 1766244, 2322164, -1264756]
[1439323, 275313, -990276, 1440605, 605632, 1439466, 2744798, -991236]
[1096943, 1528026, 313292, 1097944, 2099440, 1097131, 4240218, 313615]
[1394493, 1484907, 213054, 1395688, 1862666, 1394635, 3993714, 213207]
[1760138, 292973, -1019457, 1761649, 415918, 1760259, 2549696, -1020509]
[1528591, 156606, -1092759, 1529941, 422551, 1528730, 2575718, -1093811]
[1114512, 1359572, 176005, 1115528, 1901166, 1114689, 4064536, 176199]
